TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
양양 카페로그 독서카페 #맛집 #food #양양 #koreanfood #동해바다,https://www.youtube.com/shorts/62Wq3ZNzNgk,,#맛집,16K,680,@평범한일상이야기-f3p
사주세요#asmr #coffee #카페브이로그  #우지커피 #컴포즈커피 #vlog#shorts #shortvideo,https://www.youtube.com/shorts/AoyAlE-pcio,,#asmr,4K,228,@유댕브이로그
같이 일하자 🤙🏻🤙🏻/#cafevlog #카페 #카페브이로그 #video #coffee #shortvideo #커피 #shorts #먼데이커피 #브이로그 #vlog,https://www.youtube.com/shorts/k2c4_88x8ao,,#cafevlog,6K,695,@s2_cong_day
만화카페에서 1박2일 먹고자는 브이로그,https://www.youtube.com/shorts/n3P-QCKTMS4,,,6K,551,@gogossii
서비스 드렸다가 단골 손님과 멀어졌어요.. |카페브이로그 | 이래서 원칙이 중요한가봐요🥹#cafevlog #cafe #카페브이로그 #더리터 #카페알바,https://www.youtube.com/shorts/iR6stm0ru0U,,,3K,849,@하록카페
45%정도 찢긴 돈 은행가면 바꿔주나요 ?🧐 #카페브이로그 #cafevlog #asmr #카페 #음료제조,https://www.youtube.com/shorts/eMhBysDMDTY,,#카페브이로그,2K,653,@KINbrain
양양 북카페ㅡ카페로그 #솔향기언덕 #힐링카페,https://www.youtube.com/shorts/Zzi4-cdHbYY,,#솔향기언덕,13K,652,@해피라기
“제티 담아주신거 아니죠 ?“ #asmr #카페브이로그 #cafevlog #음료제조 #카페 #cafe #vlog,https://www.youtube.com/shorts/TUJSJmwg8hk,,#asmr,7K,252,@KINbrain
물 없이 아메리카노에 6샷?☕️ #카페브이로그 #카페알바 #cafe #cafevlog #아메리카노 #더리터,https://www.youtube.com/shorts/qOEBhMb-MsU,,#카페브이로그,2K,542,@mindoLiter
혼자 일할 때 75잔 주문 들어 온다면?#카페브이로그 #베이커리카페,https://www.youtube.com/shorts/mqkYrDpadH0,,,10K,480,@dw_diana
근무 중 브이로그 찍는 알바 절망편 #shorts,https://www.youtube.com/shorts/zkbTR1GJ76o,,#shorts,12K,249,@beautyfool
다음 알바는 꼭 오픈 타임 하고 싶어요 🙏🏻 #카페 #카페브이로그 #cafevlog #cafe #베러먼데이 #커피 #알바브이로그 #브이로그,https://www.youtube.com/shorts/6uURHosRbL8,,#카페,5K,721,@nanyamm_
그 손님은 이 이후로 안보였다는.. #카페브이로그 #카페 #카페알바 #cafe #cafevlog #컴포즈커피,https://www.youtube.com/shorts/mHEk3_aHFjw,,#카페브이로그,12K,65,@하네짱
👩🏻‍🦱 아니 사장님!!!!!!! 지금 넣는게 설탕이에요?!?!!?? #cafe #카페 #카페브이로그 #알바브이로그 #더리터,https://www.youtube.com/shorts/1_cGTATDJro,,#cafe,5K,228,@_solsol_
다들 알바하는 곳 사장님 어떠신가요?!🤔 #카페브이로그 #카페 #알바생브이로그 #사장님 #알바브이로그 #최악,https://www.youtube.com/shorts/WJQlRSJ5PIM,,,5K,890,@해피뭉뭉이
내가 아르켜줄게 🤭🤎/ #cafevlog #카페 #shortvideo #카페브이로그 #커피 #video #coffee #브이로그 #vlog #먼데이커피 #shorts #카페소품,https://www.youtube.com/shorts/AQUP6MemDa8,,#cafevlog,4K,632,@s2_cong_day
카페 알바 하다가 긴박해지는 순간‼️ #알바브이로그 #카페 #알바 #카페알바 #브이로그 #카페매니저 #컵과일 #과일도시락 #과일 #일상 #일상브이로그 #카페일상 #도시락,https://www.youtube.com/shorts/KkqAPdpiLvs,,#알바브이로그,12K,152,@수수한하루
🤔에이드 최대고민 🤔| 카페브이로그 | cafe vlog | 개인카페 브이로그,https://www.youtube.com/shorts/aXJlmSW5cFk,,Lips · IVE (아이브),19K,593,@Kamjappang
숲속 언덕 카페로그 🌿☕ #dailylife #daily #카페리뷰 #shorts #cafevlog,https://www.youtube.com/shorts/P1M9UVEy9Vg,,#dailylife,20K,791,@switdalgo
마감직전 카페알바생에게 쉐이크란..?🥹 | 카페 브이로그 | cafe vlog | 개인카페브이로그 |음료제조영상 | 알바 브이로그,https://www.youtube.com/shorts/Uwb3jIy96rA,,Get A Guitar · RIIZE,15K,673,@Kamjappang
손님 기다리고 있습니다 🙃#cafevlog #카페 #카페브이로그 #음료제조 #coffee #cafe #asmr #cafevlogkorea,https://www.youtube.com/shorts/I4425VAuXmU,,#cafevlog,13K,982,@KINbrain
공부 브이로그 #포장계 #스카 #공부 #스터디카페 #스터디 #브이로그,https://www.youtube.com/shorts/-Urj7Fyf7CE,,#포장계,12K,541,@yun.bxm2
알바 빌런의 카페알바 브이로그🖤 #카페알바 #1일차 #카페,https://www.youtube.com/shorts/4Pp51fpKCFI,,,17K,535,@forever_1125
카페오픈 이렇게 하세요 3(셀프인테리어) #메인인테리어 #카페브이로그 #카페 #셀프인테리어,https://www.youtube.com/shorts/qGV6Pk9QkSc,,#메인인테리어,13K,898,@cafe_sui
쉬는 날 가게 오픈을 하면 생기는 일🥹 #카페브이로그,https://www.youtube.com/shorts/xWNqkFx2xJk,,#카페브이로그,1K,318,@vivamanager
주말 카페 알바 샷 몇 번이나 내릴까? #카페알바브이로그 #카페알바,https://www.youtube.com/shorts/lZ2fEjkpAQU,,#카페알바브이로그,19K,207,@현희hyeony-r3x
"""블루베리 2잔 줘"" 카페알바 공감편 #알바브이로그 #카페 #알바 #카페알바 #브이로그 #블루베리 #주스 #공감",https://www.youtube.com/shorts/jsBrgRiCEC4,,#알바브이로그,17K,922,@수수한하루
극 과 극 음료 만들기 #asmr #카페 #카페브이로그 #카페음료 #viog #cafe #cafevlog #음료제조 #video,https://www.youtube.com/shorts/2TT5vqb2-6A,,#asmr,11K,185,@Ster97
21살에 카페창업한 여대생 |카페브이로그 #더리터 #cafevlog #카페브이로그 #카페창업 #카페사장 #cafe #메가커피 #컴포즈 #빽다방,https://www.youtube.com/shorts/QOVDzNDsRXM,,#더리터,12K,551,@하록카페
😊얼음을 빼도 음료양은 같아요😊 #카페봄봄 #브이로그 #휴학생 #바닐라라떼,https://www.youtube.com/shorts/2xr6uUMYR_E,,#카페봄봄,12K,158,@bin-log
커피다터져서왔다고요;;; #카페브이로그 #카페 #카페알바 #cafe #cafevlog #컴포즈커피,https://www.youtube.com/shorts/WB1UxykWf3I,,,5K,315,@하네짱
아아 어렵구만 🫣🫣/#cafevlog #카페 #카페브이로그 #shortvideo #커피 #coffee #video #vlog  #브이로그 #먼데이커피 #shorts,https://www.youtube.com/shorts/S_5tNcMqlIc,,#cafevlog,12K,434,@s2_cong_day
얼음빼고 선택하면 나오는 양 / #asmr #카페vlog #카페브이로그 #shortvideo #cafevlog #cafe #coffee #shorts #카페로그 #카페일상,https://www.youtube.com/shorts/89m2GoeOkXA,,#asmr,7K,104,@s2_cong_day
